Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1,526301100,20,RL,141.0,31770,1,No,2,Lvl,2,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,2,2,CBlock,3.0,4.0,4,4,639.0,1,0.0,441.0,1080.0,GasA,1,1,4,1656,0,0,1656,1.0,0.0,1,0,3,1,2,7,7,2,4.0,Attchd,1960.0,3,2.0,528.0,3.0,3.0,1,210,62,0,0,0,0,0.0,0,,0,5,2010,WD ,Normal,215000
2,526350040,20,RH,80.0,11622,1,No,3,Lvl,2,Inside,2,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,CBlock,3.0,3.0,1,3,468.0,2,144.0,270.0,882.0,GasA,2,1,4,896,0,0,896,0.0,0.0,1,0,2,1,2,5,7,0,0.0,Attchd,1961.0,1,1.0,730.0,3.0,3.0,2,140,0,0,0,120,0,0.0,3,,0,6,2010,WD ,Normal,105000
3,526351010,20,RL,81.0,14267,1,No,2,Lvl,2,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,2,2,CBlock,3.0,3.0,1,5,923.0,1,0.0,406.0,1329.0,GasA,2,1,4,1329,0,0,1329,0.0,0.0,1,1,3,1,3,6,7,0,0.0,Attchd,1958.0,1,1.0,312.0,3.0,3.0,2,393,36,0,0,0,0,0.0,0,Gar2,12500,6,2010,WD ,Normal,172000
4,526353030,20,RL,93.0,11160,1,No,3,Lvl,2,Corner,2,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,,0.0,3,2,CBlock,3.0,3.0,1,5,1065.0,1,0.0,1045.0,2110.0,GasA,4,1,4,2110,0,0,2110,1.0,0.0,2,1,3,1,4,8,7,2,3.0,Attchd,1968.0,3,2.0,522.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,4,2010,WD ,Normal,244000
5,527105010,60,RL,74.0,13830,1,No,2,Lvl,2,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,PConc,4.0,3.0,1,6,791.0,1,0.0,137.0,928.0,GasA,3,1,4,928,701,0,1629,0.0,0.0,2,1,3,1,2,6,7,1,3.0,Attchd,1997.0,3,2.0,482.0,3.0,3.0,2,212,34,0,0,0,0,0.0,3,,0,3,2010,WD ,Normal,189900
6,527105030,60,RL,78.0,9978,1,No,2,Lvl,2,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,2,2,PConc,3.0,3.0,1,6,602.0,1,0.0,324.0,926.0,GasA,4,1,4,926,678,0,1604,0.0,0.0,2,1,3,1,3,7,7,1,4.0,Attchd,1998.0,3,2.0,470.0,3.0,3.0,2,360,36,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,195500
7,527127150,120,RL,41.0,4920,1,No,3,Lvl,2,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,,0.0,3,2,PConc,4.0,3.0,2,6,616.0,1,0.0,722.0,1338.0,GasA,4,1,4,1338,0,0,1338,1.0,0.0,2,0,2,1,3,6,7,0,0.0,Attchd,2001.0,3,2.0,582.0,3.0,3.0,2,0,0,170,0,0,0,0.0,0,,0,4,2010,WD ,Normal,213500
8,527145080,120,RL,43.0,5005,1,No,2,HLS,2,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,,0.0,3,2,PConc,4.0,3.0,1,5,263.0,1,0.0,1017.0,1280.0,GasA,4,1,4,1280,0,0,1280,0.0,0.0,2,0,2,1,3,5,7,0,0.0,Attchd,1992.0,2,2.0,506.0,3.0,3.0,2,0,82,0,0,144,0,0.0,0,,0,1,2010,WD ,Normal,191500
9,527146030,120,RL,39.0,5389,1,No,2,Lvl,2,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,,0.0,3,2,PConc,4.0,3.0,1,6,1180.0,1,0.0,415.0,1595.0,GasA,4,1,4,1616,0,0,1616,1.0,0.0,2,0,2,1,3,5,7,1,3.0,Attchd,1995.0,2,2.0,608.0,3.0,3.0,2,237,152,0,0,0,0,0.0,0,,0,3,2010,WD ,Normal,236500
10,527162130,60,RL,60.0,7500,1,No,3,Lvl,2,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,PConc,3.0,3.0,1,1,0.0,1,0.0,994.0,994.0,GasA,3,1,4,1028,776,0,1804,0.0,0.0,2,1,3,1,3,7,7,1,3.0,Attchd,1999.0,3,2.0,442.0,3.0,3.0,2,140,60,0,0,0,0,0.0,0,,0,6,2010,WD ,Normal,189000
